Year,Geography,Type of provider,Value
2017,Newfoundland,Speech language pathologists,26.9
2018,Newfoundland,Audiologists,7.0
2018,Newfoundland,Chiropractors,13.3
2018,Newfoundland,Dental assistants,
2018,Newfoundland,Dental assistants,0.0
2018,Newfoundland,Dental hygienists,41.9
2018,Newfoundland,Dentists,44.7
2018,Newfoundland,Dietitians,35.2
2018,Newfoundland,Environmental public health professionals,5.5
2018,Newfoundland,Family medicine,137.8
2018,Newfoundland,Genetic counsellors,1.9
2018,Newfoundland,Health information management professionals,
2018,Newfoundland,Health information management professionals,0.0
2018,Newfoundland,Licensed practical nurses,452.1
2018,Newfoundland,Medical laboratory technologists,97.2
2018,Newfoundland,Medical physicists,1.7
2018,Newfoundland,Medical radiation technologists,75.3
2018,Newfoundland,Midwives,0.4
2018,Newfoundland,Nurse practitioners,32.0
2018,Newfoundland,Occupational therapists,40.7
2018,Newfoundland,Opticians,
2018,Newfoundland,Opticians,0.0
2018,Newfoundland,Optometrists,12.2
2018,Newfoundland,Paramedics,186.1
2018,Newfoundland,Pharmacists,143.8
2018,Newfoundland,Pharmacy technicians,33.1
2018,Newfoundland,Physician assistants,0.4
2018,Newfoundland,Physicians,269.0
2018,Newfoundland,Physiotherapists,55.9
2018,Newfoundland,Psychologists,48.3
2018,Newfoundland,Registered nurses,1116.7
2018,Newfoundland,Regulated nurses,1600.8
2018,Newfoundland,Respiratory therapists,29.7
2018,Newfoundland,Social workers,295.5
2018,Newfoundland,Specialists,131.3
2018,Newfoundland,Speech language pathologists,28.0
2018,Newfoundland,Speech language pathologists,28.0
2019,Newfoundland,Audiologists,7.5
2019,Newfoundland,Chiropractors,
2019,Newfoundland,Chiropractors,0.0
2019,Newfoundland,Dental assistants,
2019,Newfoundland,Dental assistants,0.0
2019,Newfoundland,Dental hygienists,44.5
2019,Newfoundland,Dentists,41.5
2019,Newfoundland,Dentists,41.5
2019,Newfoundland,Dietitians,34.6
2019,Newfoundland,Dietitians,34.6
2019,Newfoundland,Environmental public health professionals,5.5
2019,Newfoundland,Family medicine,132.2
2019,Newfoundland,Genetic counsellors,1.7
2019,Newfoundland,Health information management professionals,18.7
2019,Newfoundland,Licensed practical nurses,456.6
2019,Newfoundland,Medical laboratory technologists,98.8
2019,Newfoundland,Medical physicists,1.5
2019,Newfoundland,Medical radiation technologists,74.3
2019,Newfoundland,Midwives,0.8
2019,Newfoundland,Nurse practitioners,35.0
2019,Newfoundland,Occupational therapists,41.1
2019,Newfoundland,Opticians,23.5
2019,Newfoundland,Optometrists,13.6
2019,Newfoundland,Paramedics,
2019,Newfoundland,Paramedics,0.0
2019,Newfoundland,Pharmacists,143.7
2019,Newfoundland,Pharmacy technicians,37.8
2019,Newfoundland,Physician assistants,0.2
2019,Newfoundland,Physicians,259.3
2019,Newfoundland,Physiotherapists,57.3
2019,Newfoundland,Psychologists,53.7
2019,Newfoundland,Registered nurses,1102.5
2019,Newfoundland,Regulated nurses,1594.1
2019,Newfoundland,Respiratory therapists,30.9
2019,Newfoundland,Social workers,301.9
2019,Newfoundland,Specialists,127.0
2019,Newfoundland,Speech language pathologists,28.3
2019,Newfoundland,Speech language pathologists,28.3
2020,Newfoundland,Audiologists,8.2
2020,Newfoundland,Chiropractors,
2020,Newfoundland,Chiropractors,0.0
2020,Newfoundland,Dental assistants,
2020,Newfoundland,Dental assistants,0.0
2020,Newfoundland,Dental hygienists,
2020,Newfoundland,Dental hygienists,0.0
2020,Newfoundland,Dentists,
2020,Newfoundland,Dentists,0.0
2020,Newfoundland,Dietitians,33.8
2020,Newfoundland,Dietitians,33.8
2020,Newfoundland,Environmental public health professionals,4.6
2020,Newfoundland,Family medicine,131.2
2020,Newfoundland,Genetic counsellors,1.7
2020,Newfoundland,Health information management professionals,16.5
2020,Newfoundland,Licensed practical nurses,458.6
2020,Newfoundland,Medical laboratory technologists,108.2
2020,Newfoundland,Medical physicists,0.6
2020,Newfoundland,Medical radiation technologists,75.2
2020,Newfoundland,Midwives,1.0
2020,Newfoundland,Nurse practitioners,36.6
2020,Newfoundland,Occupational therapists,42.2
2020,Newfoundland,Opticians,
2020,Newfoundland,Opticians,0.0
2020,Newfoundland,Optometrists,10.5
2020,Newfoundland,Paramedics,
2020,Newfoundland,Paramedics,0.0
2020,Newfoundland,Pharmacists,145.0
2020,Newfoundland,Pharmacy technicians,39.5
2020,Newfoundland,Physician assistants,0.2
2020,Newfoundland,Physicians,261.0
2020,Newfoundland,Physiotherapists,58.5
2020,Newfoundland,Psychologists,46.8
2020,Newfoundland,Registered nurses,1119.2
2020,Newfoundland,Regulated nurses,1614.4
2020,Newfoundland,Respiratory therapists,30.7
2020,Newfoundland,Social workers,308.2
2020,Newfoundland,Specialists,129.9
2020,Newfoundland,Speech language pathologists,28.8
2020,Newfoundland,Speech language pathologists,28.8
2021,Newfoundland,Audiologists,9.0
2021,Newfoundland,Chiropractors,
2021,Newfoundland,Chiropractors,0.0
2021,Newfoundland,Dental assistants,
2021,Newfoundland,Dental assistants,0.0
2021,Newfoundland,Dental hygienists,51.7
2021,Newfoundland,Dentists,
2021,Newfoundland,Dentists,0.0
2021,Newfoundland,Dietitians,34.4
2021,Newfoundland,Environmental public health professionals,5.0
2021,Newfoundland,Family medicine,133.5
2021,Newfoundland,Genetic counsellors,1.5
2021,Newfoundland,Health information management professionals,12.5
2021,Newfoundland,Licensed practical nurses,466.4
2021,Newfoundland,Medical laboratory technologists,106.6
2021,Newfoundland,Medical physicists,0.4
2021,Newfoundland,Medical radiation technologists,75.1
2021,Newfoundland,Midwives,1.0
2021,Newfoundland,Nurse practitioners,39.8
2021,Newfoundland,Occupational therapists,42.6
2021,Newfoundland,Opticians,24.0
2021,Newfoundland,Optometrists,11.5
2021,Newfoundland,Paramedics,
2021,Newfoundland,Paramedics,0.0
2021,Newfoundland,Pharmacists,145.0
2021,Newfoundland,Pharmacy technicians,44.8
2021,Newfoundland,Physician assistants,0.6
2021,Newfoundland,Physicians,264.7
2021,Newfoundland,Physiotherapists,59.7
2021,Newfoundland,Psychologists,46.5
2021,Newfoundland,Registered nurses,1141.9
2021,Newfoundland,Regulated nurses,1648.1
2021,Newfoundland,Respiratory therapists,29.6
2021,Newfoundland,Social workers,320.6
2021,Newfoundland,Specialists,131.2
2021,Newfoundland,Speech language pathologists,29.2
2021,Newfoundland,Speech language pathologists,29.2
2015,Northwest Territories,Audiologists,4.5
2015,Northwest Territories,Chiropractors,
2015,Northwest Territories,Chiropractors,0.0
2015,Northwest Territories,Dental assistants,
2015,Northwest Territories,Dental assistants,0.0
2015,Northwest Territories,Dental hygienists,59.5
2015,Northwest Territories,Dentists,189.5
2015,Northwest Territories,Dietitians,
2015,Northwest Territories,Dietitians,0.0
2015,Northwest Territories,Environmental public health professionals,14.9
2015,Northwest Territories,Environmental public health professionals,14.9
2015,Northwest Territories,Family medicine,67.8
2015,Northwest Territories,Genetic counsellors,
2015,Northwest Territories,Genetic counsellors,0.0
2015,Northwest Territories,Health information management professionals,
2015,Northwest Territories,Health information management professionals,0.0
2015,Northwest Territories,Licensed practical nurses,226.1
2015,Northwest Territories,Medical laboratory technologists,65.6
2015,Northwest Territories,Medical physicists,
2015,Northwest Territories,Medical physicists,0.0
2015,Northwest Territories,Medical radiation technologists,24.9
2015,Northwest Territories,Midwives,32.2
2015,Northwest Territories,Nurse practitioners,55.7
2015,Northwest Territories,Occupational therapists,38.4
2015,Northwest Territories,Opticians,
2015,Northwest Territories,Opticians,0.0
2015,Northwest Territories,Optometrists,1.2
2015,Northwest Territories,Paramedics,
2015,Northwest Territories,Paramedics,0.0
2015,Northwest Territories,Pharmacists,67.8
2015,Northwest Territories,Pharmacy technicians,
2015,Northwest Territories,Pharmacy technicians,0.0
2015,Northwest Territories,Physician assistants,2.3
2015,Northwest Territories,Physicians,83.6
2015,Northwest Territories,Physiotherapists,
2015,Northwest Territories,Physiotherapists,0.0
2015,Northwest Territories,Psychologists,105.3
2015,Northwest Territories,Registered nurses,1295.8
2015,Northwest Territories,Registered psychiatric nurses,
2015,Northwest Territories,Registered psychiatric nurses,0.0
2015,Northwest Territories,Regulated nurses,
2015,Northwest Territories,Regulated nurses,0.0
2015,Northwest Territories,Respiratory therapists,8.7
2015,Northwest Territories,Social workers,250.9
2015,Northwest Territories,Specialists,15.8
2015,Northwest Territories,Speech language pathologists,14.9
2015,Northwest Territories,Speech language pathologists,14.9
2016,Northwest Territories,Audiologists,6.7
2016,Northwest Territories,Chiropractors,
2016,Northwest Territories,Chiropractors,0.0
2016,Northwest Territories,Dental assistants,
2016,Northwest Territories,Dental assistants,0.0
2016,Northwest Territories,Dental hygienists,57.6
2016,Northwest Territories,Dentists,180.1
2016,Northwest Territories,Dietitians,
2016,Northwest Territories,Dietitians,0.0
2016,Northwest Territories,Environmental public health professionals,11.0
2016,Northwest Territories,Family medicine,56.0
2016,Northwest Territories,Genetic counsellors,
2016,Northwest Territories,Genetic counsellors,0.0
2016,Northwest Territories,Health information management professionals,18.4
2016,Northwest Territories,Licensed practical nurses,262.0
2016,Northwest Territories,Medical laboratory technologists,55.1
2016,Northwest Territories,Medical physicists,
2016,Northwest Territories,Medical physicists,0.0
2016,Northwest Territories,Medical radiation technologists,23.3
2016,Northwest Territories,Midwives,34.3
2016,Northwest Territories,Nurse practitioners,50.2
2016,Northwest Territories,Occupational therapists,35.8
2016,Northwest Territories,Opticians,
2016,Northwest Territories,Opticians,0.0
2016,Northwest Territories,Optometrists,2.5
2016,Northwest Territories,Paramedics,
2016,Northwest Territories,Paramedics,0.0
2016,Northwest Territories,Pharmacists,76.1
2016,Northwest Territories,Pharmacy technicians,
2016,Northwest Territories,Pharmacy technicians,0.0
2016,Northwest Territories,Physician assistants,0.0
2016,Northwest Territories,Physicians,73.9
2016,Northwest Territories,Physiotherapists,
2016,Northwest Territories,Physiotherapists,0.0
2016,Northwest Territories,Psychologists,101.7
2016,Northwest Territories,Registered nurses,1249.6
2016,Northwest Territories,Registered psychiatric nurses,
2016,Northwest Territories,Registered psychiatric nurses,0.0
2016,Northwest Territories,Regulated nurses,
2016,Northwest Territories,Regulated nurses,0.0
2016,Northwest Territories,Respiratory therapists,9.8
2016,Northwest Territories,Social workers,264.3
2016,Northwest Territories,Specialists,17.9
2016,Northwest Territories,Speech language pathologists,14.7
2016,Northwest Territories,Speech language pathologists,14.7
2017,Northwest Territories,Audiologists,6.7
2017,Northwest Territories,Chiropractors,
2017,Northwest Territories,Chiropractors,0.0
2017,Northwest Territories,Dental assistants,
2017,Northwest Territories,Dental assistants,0.0
2017,Northwest Territories,Dental hygienists,82.4
2017,Northwest Territories,Dentists,131.4
2017,Northwest Territories,Dietitians,
2017,Northwest Territories,Dietitians,0.0
2017,Northwest Territories,Environmental public health professionals,22.3
2017,Northwest Territories,Family medicine,60.1
2017,Northwest Territories,Genetic counsellors,
2017,Northwest Territories,Genetic counsellors,0.0
2017,Northwest Territories,Health information management professionals,37.9
2017,Northwest Territories,Licensed practical nurses,291.8
2017,Northwest Territories,Medical laboratory technologists,62.4
2017,Northwest Territories,Medical physicists,
2017,Northwest Territories,Medical physicists,0.0
2017,Northwest Territories,Medical radiation technologists,22.3
2017,Northwest Territories,Midwives,15.6
2017,Northwest Territories,Nurse practitioners,69.1
2017,Northwest Territories,Occupational therapists,24.5
2017,Northwest Territories,Occupational therapists,24.5
2017,Northwest Territories,Opticians,
2017,Northwest Territories,Opticians,0.0
2017,Northwest Territories,Optometrists,2.2
2017,Northwest Territories,Paramedics,
2017,Northwest Territories,Paramedics,0.0
2017,Northwest Territories,Pharmacists,91.3
2017,Northwest Territories,Pharmacy technicians,
2017,Northwest Territories,Pharmacy technicians,0.0
2017,Northwest Territories,Physician assistants,0.0
2017,Northwest Territories,Physicians,78.0
2017,Northwest Territories,Physiotherapists,
2017,Northwest Territories,Physiotherapists,0.0
2017,Northwest Territories,Psychologists,158.2
2017,Northwest Territories,Psychotherapists/counselling therapists,
2017,Northwest Territories,Psychotherapists/counselling therapists,0.0
2017,Northwest Territories,Registered nurses,1228.8
2017,Northwest Territories,Registered psychiatric nurses,
2017,Northwest Territories,Registered psychiatric nurses,0.0
2017,Northwest Territories,Regulated nurses,
2017,Northwest Territories,Regulated nurses,0.0
2017,Northwest Territories,Respiratory therapists,13.4
2017,Northwest Territories,Social workers,311.9
2017,Northwest Territories,Specialists,17.8
2017,Northwest Territories,Speech language pathologists,31.2
2017,Northwest Territories,Speech language pathologists,31.2
2018,Northwest Territories,Audiologists,6.7
2018,Northwest Territories,Chiropractors,
2018,Northwest Territories,Chiropractors,0.0
2018,Northwest Territories,Dental assistants,
2018,Northwest Territories,Dental assistants,0.0
2018,Northwest Territories,Dental hygienists,77.8
2018,Northwest Territories,Dentists,133.4
2018,Northwest Territories,Dietitians,31.1
2018,Northwest Territories,Environmental public health professionals,20.0
2018,Northwest Territories,Family medicine,77.8
2018,Northwest Territories,Genetic counsellors,
2018,Northwest Territories,Genetic counsellors,0.0
2018,Northwest Territories,Health information management professionals,
2018,Northwest Territories,Health information management professionals,0.0
2018,Northwest Territories,Licensed practical nurses,269.0
2018,Northwest Territories,Medical laboratory technologists,64.5
2018,Northwest Territories,Medical physicists,
2018,Northwest Territories,Medical physicists,0.0
2018,Northwest Territories,Medical radiation technologists,
2018,Northwest Territories,Medical radiation technologists,0.0
2018,Northwest Territories,Midwives,15.6
2018,Northwest Territories,Nurse practitioners,60.2
2018,Northwest Territories,Occupational therapists,37.8
2018,Northwest Territories,Opticians,
2018,Northwest Territories,Opticians,0.0
2018,Northwest Territories,Optometrists,0.0
2018,Northwest Territories,Paramedics,
2018,Northwest Territories,Paramedics,0.0
2018,Northwest Territories,Pharmacists,93.4
2018,Northwest Territories,Pharmacy technicians,
2018,Northwest Territories,Pharmacy technicians,0.0
2018,Northwest Territories,Physician assistants,0.0
2018,Northwest Territories,Physicians,91.1
2018,Northwest Territories,Physiotherapists,
2018,Northwest Territories,Physiotherapists,0.0
2018,Northwest Territories,Psychologists,144.5
2018,Northwest Territories,Psychotherapists/counselling therapists,
2018,Northwest Territories,Psychotherapists/counselling therapists,0.0
2018,Northwest Territories,Registered nurses,975.7
2018,Northwest Territories,Registered psychiatric nurses,
2018,Northwest Territories,Registered psychiatric nurses,0.0
2018,Northwest Territories,Regulated nurses,
2018,Northwest Territories,Regulated nurses,0.0
2018,Northwest Territories,Respiratory therapists,13.3
2018,Northwest Territories,Social workers,280.1
2018,Northwest Territories,Specialists,13.3
2018,Northwest Territories,Speech language pathologists,28.9
2018,Northwest Territories,Speech language pathologists,28.9
2019,Northwest Territories,Audiologists,6.7
2019,Northwest Territories,Chiropractors,
2019,Northwest Territories,Chiropractors,0.0
2019,Northwest Territories,Dental assistants,
2019,Northwest Territories,Dental assistants,0.0
2019,Northwest Territories,Dental hygienists,62.1
2019,Northwest Territories,Dentists,128.7
2019,Northwest Territories,Dietitians,28.8
2019,Northwest Territories,Dietitians,28.8
2019,Northwest Territories,Environmental public health professionals,20.0
2019,Northwest Territories,Family medicine,82.1
2019,Northwest Territories,Genetic counsellors,
2019,Northwest Territories,Genetic counsellors,0.0
2019,Northwest Territories,Health information management professionals,39.9
2019,Northwest Territories,Licensed practical nurses,255.2
2019,Northwest Territories,Medical laboratory technologists,71.0
2019,Northwest Territories,Medical physicists,
2019,Northwest Territories,Medical physicists,0.0
2019,Northwest Territories,Medical radiation technologists,26.6
2019,Northwest Territories,Medical radiation technologists,26.6
2019,Northwest Territories,Midwives,22.2
2019,Northwest Territories,Nurse practitioners,56.2
2019,Northwest Territories,Occupational therapists,42.2
2019,Northwest Territories,Opticians,
2019,Northwest Territories,Opticians,0.0
2019,Northwest Territories,Optometrists,0.0
2019,Northwest Territories,Paramedics,
2019,Northwest Territories,Paramedics,0.0
2019,Northwest Territories,Pharmacists,97.6
2019,Northwest Territories,Pharmacy technicians,
2019,Northwest Territories,Pharmacy technicians,0.0
2019,Northwest Territories,Physician assistants,0.0
2019,Northwest Territories,Physicians,97.6
2019,Northwest Territories,Physiotherapists,
2019,Northwest Territories,Physiotherapists,0.0
2019,Northwest Territories,Psychologists,139.8
2019,Northwest Territories,Psychotherapists/counselling therapists,
2019,Northwest Territories,Psychotherapists/counselling therapists,0.0
2019,Northwest Territories,Registered nurses,888.1
2019,Northwest Territories,Registered psychiatric nurses,
2019,Northwest Territories,Registered psychiatric nurses,0.0
2019,Northwest Territories,Regulated nurses,
2019,Northwest Territories,Regulated nurses,0.0
2019,Northwest Territories,Respiratory therapists,15.5
2019,Northwest Territories,Social workers,315.1
2019,Northwest Territories,Specialists,15.5
2019,Northwest Territories,Speech language pathologists,35.5
2019,Northwest Territories,Speech language pathologists,35.5
2020,Northwest Territories,Audiologists,6.6
2020,Northwest Territories,Chiropractors,
2020,Northwest Territories,Chiropractors,0.0
2020,Northwest Territories,Dental assistants,
2020,Northwest Territories,Dental assistants,0.0
2020,Northwest Territories,Dental hygienists,
2020,Northwest Territories,Dental hygienists,0.0
2020,Northwest Territories,Dentists,
2020,Northwest Territories,Dentists,0.0
2020,Northwest Territories,Dietitians,
2020,Northwest Territories,Dietitians,0.0
2020,Northwest Territories,Environmental public health professionals,17.6
2020,Northwest Territories,Family medicine,88.2
2020,Northwest Territories,Genetic counsellors,
2020,Northwest Territories,Genetic counsellors,0.0
2020,Northwest Territories,Health information management professionals,50.7
2020,Northwest Territories,Licensed practical nurses,319.6
2020,Northwest Territories,Medical laboratory technologists,59.5
2020,Northwest Territories,Medical physicists,
2020,Northwest Territories,Medical physicists,0.0
2020,Northwest Territories,Medical radiation technologists,28.7
2020,Northwest Territories,Medical radiation technologists,28.7
2020,Northwest Territories,Midwives,
2020,Northwest Territories,Midwives,0.0
2020,Northwest Territories,Nurse practitioners,93.5
2020,Northwest Territories,Occupational therapists,57.3
2020,Northwest Territories,Opticians,
2020,Northwest Territories,Opticians,0.0
2020,Northwest Territories,Optometrists,
2020,Northwest Territories,Optometrists,0.0
2020,Northwest Territories,Paramedics,
2020,Northwest Territories,Paramedics,0.0
2020,Northwest Territories,Pharmacists,97.0
2020,Northwest Territories,Pharmacy technicians,
2020,Northwest Territories,Pharmacy technicians,0.0
2020,Northwest Territories,Physician assistants,
2020,Northwest Territories,Physician assistants,0.0
2020,Northwest Territories,Physicians,114.6
2020,Northwest Territories,Physiotherapists,
2020,Northwest Territories,Physiotherapists,0.0
2020,Northwest Territories,Psychologists,
2020,Northwest Territories,Psychologists,0.0
2020,Northwest Territories,Psychotherapists/counselling therapists,
2020,Northwest Territories,Psychotherapists/counselling therapists,0.0
2020,Northwest Territories,Registered nurses,1618.4
2020,Northwest Territories,Registered psychiatric nurses,
2020,Northwest Territories,Registered psychiatric nurses,0.0
2020,Northwest Territories,Regulated nurses,
2020,Northwest Territories,Regulated nurses,0.0
2020,Northwest Territories,Respiratory therapists,13.2
2020,Northwest Territories,Social workers,
2020,Northwest Territories,Social workers,0.0
2020,Northwest Territories,Specialists,26.4
2020,Northwest Territories,Speech language pathologists,33.1
2020,Northwest Territories,Speech language pathologists,33.1
2021,Northwest Territories,Audiologists,4.4
2021,Northwest Territories,Chiropractors,
2021,Northwest Territories,Chiropractors,0.0
2021,Northwest Territories,Dental assistants,
2021,Northwest Territories,Dental assistants,0.0
2021,Northwest Territories,Dental hygienists,63.7
2021,Northwest Territories,Dentists,129.7
2021,Northwest Territories,Dietitians,
2021,Northwest Territories,Dietitians,0.0
2021,Northwest Territories,Environmental public health professionals,19.8
2021,Northwest Territories,Family medicine,92.3
2021,Northwest Territories,Genetic counsellors,
2021,Northwest Territories,Genetic counsellors,0.0
2021,Northwest Territories,Health information management professionals,44.0
2021,Northwest Territories,Licensed practical nurses,426.3
2021,Northwest Territories,Medical laboratory technologists,61.5
2021,Northwest Territories,Medical physicists,
2021,Northwest Territories,Medical physicists,0.0
2021,Northwest Territories,Medical radiation technologists,30.8
2021,Northwest Territories,Midwives,30.8
2021,Northwest Territories,Nurse practitioners,110.7
2021,Northwest Territories,Occupational therapists,48.3
2021,Northwest Territories,Opticians,
2021,Northwest Territories,Opticians,0.0
2021,Northwest Territories,Optometrists,
2021,Northwest Territories,Optometrists,0.0
2021,Northwest Territories,Paramedics,
2021,Northwest Territories,Paramedics,0.0
2021,Northwest Territories,Pharmacists,105.5
2021,Northwest Territories,Pharmacy technicians,
2021,Northwest Territories,Pharmacy technicians,0.0
2021,Northwest Territories,Physician assistants,0.0
2021,Northwest Territories,Physicians,116.5
2021,Northwest Territories,Physiotherapists,
2021,Northwest Territories,Physiotherapists,0.0
2021,Northwest Territories,Psychologists,193.4
2021,Northwest Territories,Psychotherapists/counselling therapists,
2021,Northwest Territories,Psychotherapists/counselling therapists,0.0
2021,Northwest Territories,Registered nurses,1753.7
2021,Northwest Territories,Registered psychiatric nurses,
2021,Northwest Territories,Registered psychiatric nurses,0.0
2021,Northwest Territories,Regulated nurses,
2021,Northwest Territories,Regulated nurses,0.0
2021,Northwest Territories,Respiratory therapists,15.4
2021,Northwest Territories,Social workers,340.6
2021,Northwest Territories,Specialists,24.2
2021,Northwest Territories,Speech language pathologists,26.4
2021,Northwest Territories,Speech language pathologists,26.4
2015,Nova Scotia,Audiologists,8.6
2015,Nova Scotia,Chiropractors,15.4
2015,Nova Scotia,Dental assistants,
2015,Nova Scotia,Dental assistants,0.0
2015,Nova Scotia,Dental hygienists,70.7
2015,Nova Scotia,Dentists,56.4
2015,Nova Scotia,Dietitians,59.8
2015,Nova Scotia,Environmental public health professionals,8.9
2015,Nova Scotia,Family medicine,132.5
2015,Nova Scotia,Genetic counsellors,1.5
2015,Nova Scotia,Health information management professionals,
2015,Nova Scotia,Health information management professionals,0.0
2015,Nova Scotia,Licensed practical nurses,417.3
2015,Nova Scotia,Medical laboratory technologists,89.4
2015,Nova Scotia,Medical physicists,1.7
2015,Nova Scotia,Medical radiation technologists,61.2
2015,Nova Scotia,Midwives,1.1
2015,Nova Scotia,Nurse practitioners,15.9
2015,Nova Scotia,Occupational therapists,52.9
2015,Nova Scotia,Opticians,
2015,Nova Scotia,Opticians,0.0
2015,Nova Scotia,Optometrists,13.9
2015,Nova Scotia,Paramedics,
2015,Nova Scotia,Paramedics,0.0
2015,Nova Scotia,Pharmacists,141.5
2015,Nova Scotia,Pharmacy technicians,7.4
2015,Nova Scotia,Physician assistants,2.9
2015,Nova Scotia,Physicians,263.2
2015,Nova Scotia,Physiotherapists,69.7
2015,Nova Scotia,Psychologists,
2015,Nova Scotia,Psychologists,0.0
2015,Nova Scotia,Registered nurses,1017.0
2015,Nova Scotia,Registered psychiatric nurses,
2015,Nova Scotia,Registered psychiatric nurses,0.0
2015,Nova Scotia,Regulated nurses,1450.1
2015,Nova Scotia,Respiratory therapists,30.9
2015,Nova Scotia,Social workers,166.6
2015,Nova Scotia,Specialists,130.7
2015,Nova Scotia,Speech language pathologists,24.6
2015,Nova Scotia,Speech language pathologists,24.6
2016,Nova Scotia,Audiologists,8.9
2016,Nova Scotia,Chiropractors,16.0
2016,Nova Scotia,Dental assistants,79.1
2016,Nova Scotia,Dental hygienists,71.8
2016,Nova Scotia,Dentists,57.2
2016,Nova Scotia,Dietitians,61.7
2016,Nova Scotia,Environmental public health professionals,10.2
2016,Nova Scotia,Family medicine,128.9
2016,Nova Scotia,Genetic counsellors,1.3
2016,Nova Scotia,Health information management professionals,16.9
2016,Nova Scotia,Licensed practical nurses,425.8
2016,Nova Scotia,Medical laboratory technologists,
2016,Nova Scotia,Medical laboratory technologists,0.0
2016,Nova Scotia,Medical physicists,1.7
2016,Nova Scotia,Medical radiation technologists,64.3
2016,Nova Scotia,Midwives,1.1
2016,Nova Scotia,Nurse practitioners,15.5
2016,Nova Scotia,Occupational therapists,54.7
2016,Nova Scotia,Opticians,28.3
2016,Nova Scotia,Optometrists,14.0
2016,Nova Scotia,Paramedics,
2016,Nova Scotia,Paramedics,0.0
2016,Nova Scotia,Pharmacists,140.2
2016,Nova Scotia,Pharmacy technicians,12.8
2016,Nova Scotia,Physician assistants,3.2
2016,Nova Scotia,Physicians,260.6
2016,Nova Scotia,Physiotherapists,71.2
2016,Nova Scotia,Psychologists,58.5
2016,Nova Scotia,Registered nurses,1006.5
2016,Nova Scotia,Registered psychiatric nurses,
2016,Nova Scotia,Registered psychiatric nurses,0.0
2016,Nova Scotia,Regulated nurses,1447.7
2016,Nova Scotia,Respiratory therapists,32.7
2016,Nova Scotia,Social workers,187.3
2016,Nova Scotia,Specialists,131.7
2016,Nova Scotia,Speech language pathologists,24.8
2016,Nova Scotia,Speech language pathologists,24.8
2017,Nova Scotia,Audiologists,9.5
2017,Nova Scotia,Chiropractors,16.4
2017,Nova Scotia,Dental assistants,79.7
2017,Nova Scotia,Dental hygienists,77.5
2017,Nova Scotia,Dentists,58.2
2017,Nova Scotia,Dietitians,62.3
2017,Nova Scotia,Environmental public health professionals,8.4
2017,Nova Scotia,Family medicine,129.8
2017,Nova Scotia,Genetic counsellors,1.4
2017,Nova Scotia,Health information management professionals,18.1
2017,Nova Scotia,Licensed practical nurses,436.0
2017,Nova Scotia,Medical laboratory technologists,85.1
2017,Nova Scotia,Medical physicists,1.6
2017,Nova Scotia,Medical radiation technologists,65.2
2017,Nova Scotia,Midwives,1.1
2017,Nova Scotia,Nurse practitioners,17.2
2017,Nova Scotia,Occupational therapists,55.9
2017,Nova Scotia,Opticians,19.1
2017,Nova Scotia,Optometrists,14.5
2017,Nova Scotia,Paramedics,126.6
2017,Nova Scotia,Pharmacists,139.0
2017,Nova Scotia,Pharmacy technicians,20.8
2017,Nova Scotia,Physician assistants,4.1
2017,Nova Scotia,Physicians,258.4
2017,Nova Scotia,Physiotherapists,73.1
2017,Nova Scotia,Psychologists,59.2
2017,Nova Scotia,Psychotherapists/counselling therapists,
2017,Nova Scotia,Psychotherapists/counselling therapists,0.0
2017,Nova Scotia,Registered nurses,999.7
2017,Nova Scotia,Registered psychiatric nurses,
2017,Nova Scotia,Registered psychiatric nurses,0.0
2017,Nova Scotia,Regulated nurses,1452.8
2017,Nova Scotia,Respiratory therapists,33.5
2017,Nova Scotia,Social workers,199.3
2017,Nova Scotia,Specialists,128.6
2017,Nova Scotia,Speech language pathologists,24.4
2017,Nova Scotia,Speech language pathologists,24.4
2018,Nova Scotia,Audiologists,10.2
2018,Nova Scotia,Chiropractors,17.3
2018,Nova Scotia,Dental assistants,84.0
2018,Nova Scotia,Dental hygienists,74.4
2018,Nova Scotia,Dentists,59.0
2018,Nova Scotia,Dietitians,62.9
2018,Nova Scotia,Environmental public health professionals,8.7
2018,Nova Scotia,Family medicine,134.8
2018,Nova Scotia,Genetic counsellors,1.5
2018,Nova Scotia,Health information management professionals,
2018,Nova Scotia,Health information management professionals,0.0
2018,Nova Scotia,Licensed practical nurses,443.7
2018,Nova Scotia,Medical laboratory technologists,83.9
2018,Nova Scotia,Medical physicists,1.6
2018,Nova Scotia,Medical radiation technologists,63.5
2018,Nova Scotia,Midwives,1.0
2018,Nova Scotia,Nurse practitioners,19.0
2018,Nova Scotia,Occupational therapists,56.6
2018,Nova Scotia,Opticians,
2018,Nova Scotia,Opticians,0.0
2018,Nova Scotia,Optometrists,14.2
2018,Nova Scotia,Paramedics,133.7
2018,Nova Scotia,Pharmacists,139.4
2018,Nova Scotia,Pharmacy technicians,18.8
2018,Nova Scotia,Physician assistants,3.4
2018,Nova Scotia,Physicians,273.0
2018,Nova Scotia,Physiotherapists,75.0
2018,Nova Scotia,Psychologists,62.7
2018,Nova Scotia,Psychotherapists/counselling therapists,
2018,Nova Scotia,Psychotherapists/counselling therapists,0.0
2018,Nova Scotia,Registered nurses,985.2
2018,Nova Scotia,Registered psychiatric nurses,
2018,Nova Scotia,Registered psychiatric nurses,0.0
