Year,Geography,Age group,Type of institution attended,GeoCode,Value
2019/2020,Ontario,15 to 19 years,Elementary/High School,35,59.0
2019/2020,Ontario,15 to 19 years,College,35,8.0
2019/2020,Ontario,15 to 19 years,University,35,18.0
2019/2020,Ontario,20 to 24 years,Total participation rate,35,42.0
2019/2020,Ontario,20 to 24 years,Elementary/High School,35,1.0
2019/2020,Ontario,20 to 24 years,College,35,12.0
2019/2020,Ontario,20 to 24 years,University,35,29.0
2019/2020,Ontario,25 to 29 years,Total participation rate,35,11.0
2019/2020,Ontario,25 to 29 years,Elementary/High School,35,0.0
2019/2020,Ontario,25 to 29 years,College,35,5.0
2019/2020,Ontario,25 to 29 years,University,35,6.0
2019/2020,Manitoba,15 to 19 years,Total participation rate,46,76.0
2019/2020,Manitoba,15 to 19 years,Elementary/High School,46,58.0
2019/2020,Manitoba,15 to 19 years,College,46,3.0
2019/2020,Manitoba,15 to 19 years,University,46,15.0
2019/2020,Manitoba,20 to 24 years,Total participation rate,46,34.0
2019/2020,Manitoba,20 to 24 years,Elementary/High School,46,1.0
2019/2020,Manitoba,20 to 24 years,College,46,7.0
2019/2020,Manitoba,20 to 24 years,University,46,26.0
2019/2020,Manitoba,25 to 29 years,Total participation rate,46,12.0
2019/2020,Manitoba,25 to 29 years,Elementary/High School,46,
2019/2020,Manitoba,25 to 29 years,College,46,3.0
2019/2020,Manitoba,25 to 29 years,University,46,8.0
2019/2020,Saskatchewan,15 to 19 years,Total participation rate,47,77.0
2019/2020,Saskatchewan,15 to 19 years,Elementary/High School,47,61.0
2019/2020,Saskatchewan,15 to 19 years,College,47,2.0
2019/2020,Saskatchewan,15 to 19 years,University,47,14.0
2019/2020,Saskatchewan,20 to 24 years,Total participation rate,47,31.0
2019/2020,Saskatchewan,20 to 24 years,Elementary/High School,47,1.0
2019/2020,Saskatchewan,20 to 24 years,College,47,6.0
2019/2020,Saskatchewan,20 to 24 years,University,47,24.0
2019/2020,Saskatchewan,25 to 29 years,Total participation rate,47,12.0
2019/2020,Saskatchewan,25 to 29 years,Elementary/High School,47,
2019/2020,Saskatchewan,25 to 29 years,College,47,3.0
2019/2020,Saskatchewan,25 to 29 years,University,47,9.0
2019/2020,Alberta,15 to 19 years,Total participation rate,48,78.0
2019/2020,Alberta,15 to 19 years,Elementary/High School,48,62.0
2019/2020,Alberta,15 to 19 years,College,48,4.0
2019/2020,Alberta,15 to 19 years,University,48,12.0
2019/2020,Alberta,20 to 24 years,Total participation rate,48,36.0
2019/2020,Alberta,20 to 24 years,Elementary/High School,48,
2019/2020,Alberta,20 to 24 years,College,48,7.0
2019/2020,Alberta,20 to 24 years,University,48,29.0
2019/2020,Alberta,25 to 29 years,Total participation rate,48,9.0
2019/2020,Alberta,25 to 29 years,Elementary/High School,48,
2019/2020,Alberta,25 to 29 years,College,48,3.0
2019/2020,Alberta,25 to 29 years,University,48,7.0
2019/2020,British Columbia,15 to 19 years,Total participation rate,59,74.0
2019/2020,British Columbia,15 to 19 years,Elementary/High School,59,55.0
2019/2020,British Columbia,15 to 19 years,College,59,5.0
2019/2020,British Columbia,15 to 19 years,University,59,14.0
2019/2020,British Columbia,20 to 24 years,Total participation rate,59,43.0
2019/2020,British Columbia,20 to 24 years,Elementary/High School,59,
2019/2020,British Columbia,20 to 24 years,College,59,12.0
2019/2020,British Columbia,20 to 24 years,University,59,31.0
2019/2020,British Columbia,25 to 29 years,Total participation rate,59,13.0
2019/2020,British Columbia,25 to 29 years,Elementary/High School,59,
2019/2020,British Columbia,25 to 29 years,College,59,5.0
2019/2020,British Columbia,25 to 29 years,University,59,9.0
2019/2020,Yukon,15 to 19 years,Total participation rate,60,71.0
2019/2020,Yukon,15 to 19 years,Elementary/High School,60,60.0
2019/2020,Yukon,15 to 19 years,College,60,
2019/2020,Yukon,15 to 19 years,University,60,
2019/2020,Yukon,20 to 24 years,Total participation rate,60,25.0
2019/2020,Yukon,20 to 24 years,Elementary/High School,60,
2019/2020,Yukon,20 to 24 years,College,60,13.0
2019/2020,Yukon,20 to 24 years,University,60,
2019/2020,Yukon,25 to 29 years,Total participation rate,60,
2019/2020,Yukon,25 to 29 years,College,60,
2019/2020,Yukon,25 to 29 years,University,60,
2019/2020,Northwest Territories,15 to 19 years,Total participation rate,61,76.0
2019/2020,Northwest Territories,15 to 19 years,Elementary/High School,61,68.0
2019/2020,Northwest Territories,15 to 19 years,College,61,
2019/2020,Northwest Territories,15 to 19 years,University,61,
2019/2020,Northwest Territories,20 to 24 years,Total participation rate,61,29.0
2019/2020,Northwest Territories,20 to 24 years,Elementary/High School,61,
2019/2020,Northwest Territories,20 to 24 years,College,61,
2019/2020,Northwest Territories,20 to 24 years,University,61,17.0
2019/2020,Northwest Territories,25 to 29 years,Total participation rate,61,
2019/2020,Northwest Territories,25 to 29 years,College,61,
2019/2020,Northwest Territories,25 to 29 years,University,61,
2019/2020,Nunavut,15 to 19 years,Total participation rate,62,64.0
2019/2020,Nunavut,15 to 19 years,Elementary/High School,62,62.0
2019/2020,Nunavut,15 to 19 years,College,62,
2019/2020,Nunavut,15 to 19 years,University,62,
2019/2020,Nunavut,20 to 24 years,Total participation rate,62,15.0
2019/2020,Nunavut,20 to 24 years,Elementary/High School,62,
2019/2020,Nunavut,20 to 24 years,College,62,
2019/2020,Nunavut,20 to 24 years,University,62,
2019/2020,Nunavut,25 to 29 years,Total participation rate,62,
2019/2020,Nunavut,25 to 29 years,Elementary/High School,62,
2019/2020,Nunavut,25 to 29 years,College,62,
2019/2020,Nunavut,25 to 29 years,University,62,
2020/2021,Canada,15 to 19 years,Total participation rate,,84.0
2020/2021,Canada,15 to 19 years,Elementary/High School,,58.0
2020/2021,Canada,15 to 19 years,College,,12.0
2020/2021,Canada,15 to 19 years,University,,14.0
2020/2021,Canada,20 to 24 years,Total participation rate,,43.0
2020/2021,Canada,20 to 24 years,Elementary/High School,,1.0
2020/2021,Canada,20 to 24 years,College,,10.0
2020/2021,Canada,20 to 24 years,University,,32.0
2020/2021,Canada,25 to 29 years,Total participation rate,,12.0
2020/2021,Canada,25 to 29 years,Elementary/High School,,0.0
2020/2021,Canada,25 to 29 years,College,,4.0
2020/2021,Canada,25 to 29 years,University,,8.0
2020/2021,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,79.0
2020/2021,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,59.0
2020/2021,Newfoundland and Labrador,15 to 19 years,College,10,4.0
2020/2021,Newfoundland and Labrador,15 to 19 years,University,10,16.0
2020/2021,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,40.0
2020/2021,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2020/2021,Newfoundland and Labrador,20 to 24 years,College,10,10.0
2020/2021,Newfoundland and Labrador,20 to 24 years,University,10,30.0
2020/2021,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,14.0
2020/2021,Newfoundland and Labrador,25 to 29 years,College,10,6.0
2020/2021,Newfoundland and Labrador,25 to 29 years,University,10,8.0
2020/2021,Prince Edward Island,15 to 19 years,Total participation rate,11,88.0
2020/2021,Prince Edward Island,15 to 19 years,Elementary/High School,11,61.0
2020/2021,Prince Edward Island,15 to 19 years,College,11,9.0
2020/2021,Prince Edward Island,15 to 19 years,University,11,18.0
2020/2021,Prince Edward Island,20 to 24 years,Total participation rate,11,35.0
2020/2021,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2020/2021,Prince Edward Island,20 to 24 years,College,11,8.0
2020/2021,Prince Edward Island,20 to 24 years,University,11,27.0
2020/2021,Prince Edward Island,25 to 29 years,Total participation rate,11,11.0
2020/2021,Prince Edward Island,25 to 29 years,College,11,3.0
2020/2021,Prince Edward Island,25 to 29 years,University,11,8.0
2020/2021,Nova Scotia,15 to 19 years,Total participation rate,12,84.0
2020/2021,Nova Scotia,15 to 19 years,Elementary/High School,12,62.0
2020/2021,Nova Scotia,15 to 19 years,College,12,6.0
2020/2021,Nova Scotia,15 to 19 years,University,12,16.0
2020/2021,Nova Scotia,20 to 24 years,Total participation rate,12,35.0
2020/2021,Nova Scotia,20 to 24 years,Elementary/High School,12,
2020/2021,Nova Scotia,20 to 24 years,College,12,8.0
2020/2021,Nova Scotia,20 to 24 years,University,12,27.0
2020/2021,Nova Scotia,25 to 29 years,Total participation rate,12,11.0
2020/2021,Nova Scotia,25 to 29 years,College,12,3.0
2020/2021,Nova Scotia,25 to 29 years,University,12,8.0
2020/2021,New Brunswick,15 to 19 years,Total participation rate,13,81.0
2020/2021,New Brunswick,15 to 19 years,Elementary/High School,13,62.0
2020/2021,New Brunswick,15 to 19 years,College,13,5.0
2020/2021,New Brunswick,15 to 19 years,University,13,14.0
2020/2021,New Brunswick,20 to 24 years,Total participation rate,13,31.0
2020/2021,New Brunswick,20 to 24 years,Elementary/High School,13,
2020/2021,New Brunswick,20 to 24 years,College,13,7.0
2020/2021,New Brunswick,20 to 24 years,University,13,23.0
2020/2021,New Brunswick,25 to 29 years,Total participation rate,13,7.0
2020/2021,New Brunswick,25 to 29 years,College,13,3.0
2020/2021,New Brunswick,25 to 29 years,University,13,3.0
2020/2021,Quebec,15 to 19 years,Total participation rate,24,85.0
2020/2021,Quebec,15 to 19 years,Elementary/High School,24,48.0
2020/2021,Quebec,15 to 19 years,College,24,34.0
2020/2021,Quebec,15 to 19 years,University,24,3.0
2020/2021,Quebec,20 to 24 years,Total participation rate,24,52.0
2020/2021,Quebec,20 to 24 years,Elementary/High School,24,3.0
2020/2021,Quebec,20 to 24 years,College,24,15.0
2020/2021,Quebec,20 to 24 years,University,24,34.0
2020/2021,Quebec,25 to 29 years,Total participation rate,24,16.0
2020/2021,Quebec,25 to 29 years,Elementary/High School,24,1.0
2020/2021,Quebec,25 to 29 years,College,24,3.0
2020/2021,Quebec,25 to 29 years,University,24,12.0
2020/2021,Ontario,15 to 19 years,Total participation rate,35,86.0
2020/2021,Ontario,15 to 19 years,Elementary/High School,35,61.0
2020/2021,Ontario,15 to 19 years,College,35,6.0
2020/2021,Ontario,15 to 19 years,University,35,19.0
2020/2021,Ontario,20 to 24 years,Total participation rate,35,44.0
2020/2021,Ontario,20 to 24 years,Elementary/High School,35,1.0
2020/2021,Ontario,20 to 24 years,College,35,11.0
2020/2021,Ontario,20 to 24 years,University,35,32.0
2020/2021,Ontario,25 to 29 years,Total participation rate,35,11.0
2020/2021,Ontario,25 to 29 years,Elementary/High School,35,0.0
2020/2021,Ontario,25 to 29 years,College,35,5.0
2020/2021,Ontario,25 to 29 years,University,35,6.0
2020/2021,Manitoba,15 to 19 years,Total participation rate,46,78.0
2020/2021,Manitoba,15 to 19 years,Elementary/High School,46,60.0
2020/2021,Manitoba,15 to 19 years,College,46,3.0
2020/2021,Manitoba,15 to 19 years,University,46,16.0
2020/2021,Manitoba,20 to 24 years,Total participation rate,46,39.0
2020/2021,Manitoba,20 to 24 years,Elementary/High School,46,
2020/2021,Manitoba,20 to 24 years,College,46,7.0
2020/2021,Manitoba,20 to 24 years,University,46,32.0
2020/2021,Manitoba,25 to 29 years,Total participation rate,46,13.0
2020/2021,Manitoba,25 to 29 years,Elementary/High School,46,
2020/2021,Manitoba,25 to 29 years,College,46,4.0
2020/2021,Manitoba,25 to 29 years,University,46,9.0
2020/2021,Saskatchewan,15 to 19 years,Total participation rate,47,79.0
2020/2021,Saskatchewan,15 to 19 years,Elementary/High School,47,62.0
2020/2021,Saskatchewan,15 to 19 years,College,47,3.0
2020/2021,Saskatchewan,15 to 19 years,University,47,15.0
2020/2021,Saskatchewan,20 to 24 years,Total participation rate,47,34.0
2020/2021,Saskatchewan,20 to 24 years,Elementary/High School,47,1.0
2020/2021,Saskatchewan,20 to 24 years,College,47,4.0
2020/2021,Saskatchewan,20 to 24 years,University,47,30.0
2020/2021,Saskatchewan,25 to 29 years,Total participation rate,47,10.0
2020/2021,Saskatchewan,25 to 29 years,Elementary/High School,47,
2020/2021,Saskatchewan,25 to 29 years,College,47,3.0
2020/2021,Saskatchewan,25 to 29 years,University,47,7.0
2020/2021,Alberta,15 to 19 years,Total participation rate,48,81.0
2020/2021,Alberta,15 to 19 years,Elementary/High School,48,63.0
2020/2021,Alberta,15 to 19 years,College,48,6.0
2020/2021,Alberta,15 to 19 years,University,48,12.0
2020/2021,Alberta,20 to 24 years,Total participation rate,48,38.0
2020/2021,Alberta,20 to 24 years,Elementary/High School,48,1.0
2020/2021,Alberta,20 to 24 years,College,48,6.0
2020/2021,Alberta,20 to 24 years,University,48,31.0
2020/2021,Alberta,25 to 29 years,Total participation rate,48,11.0
2020/2021,Alberta,25 to 29 years,Elementary/High School,48,
2020/2021,Alberta,25 to 29 years,College,48,3.0
2020/2021,Alberta,25 to 29 years,University,48,8.0
2020/2021,British Columbia,15 to 19 years,Total participation rate,59,81.0
2020/2021,British Columbia,15 to 19 years,Elementary/High School,59,60.0
2020/2021,British Columbia,15 to 19 years,College,59,5.0
2020/2021,British Columbia,15 to 19 years,University,59,15.0
2020/2021,British Columbia,20 to 24 years,Total participation rate,59,42.0
2020/2021,British Columbia,20 to 24 years,Elementary/High School,59,1.0
2020/2021,British Columbia,20 to 24 years,College,59,10.0
2020/2021,British Columbia,20 to 24 years,University,59,31.0
2020/2021,British Columbia,25 to 29 years,Total participation rate,59,13.0
2020/2021,British Columbia,25 to 29 years,Elementary/High School,59,
2020/2021,British Columbia,25 to 29 years,College,59,4.0
2020/2021,British Columbia,25 to 29 years,University,59,9.0
2020/2021,Yukon,15 to 19 years,Total participation rate,60,79.0
2020/2021,Yukon,15 to 19 years,Elementary/High School,60,72.0
2020/2021,Yukon,15 to 19 years,College,60,
2020/2021,Yukon,15 to 19 years,University,60,
2020/2021,Yukon,20 to 24 years,Total participation rate,60,35.0
2020/2021,Yukon,20 to 24 years,Elementary/High School,60,
2020/2021,Yukon,20 to 24 years,College,60,
2020/2021,Yukon,20 to 24 years,University,60,31.0
2020/2021,Yukon,25 to 29 years,Total participation rate,60,
2020/2021,Yukon,25 to 29 years,Elementary/High School,60,
2020/2021,Yukon,25 to 29 years,College,60,
2020/2021,Yukon,25 to 29 years,University,60,
2020/2021,Northwest Territories,15 to 19 years,Total participation rate,61,83.0
2020/2021,Northwest Territories,15 to 19 years,Elementary/High School,61,78.0
2020/2021,Northwest Territories,15 to 19 years,College,61,
2020/2021,Northwest Territories,15 to 19 years,University,61,
2020/2021,Northwest Territories,20 to 24 years,Total participation rate,61,20.0
2020/2021,Northwest Territories,20 to 24 years,Elementary/High School,61,
2020/2021,Northwest Territories,20 to 24 years,College,61,
2020/2021,Northwest Territories,20 to 24 years,University,61,13.0
2020/2021,Northwest Territories,25 to 29 years,Total participation rate,61,8.0
2020/2021,Northwest Territories,25 to 29 years,College,61,
2020/2021,Northwest Territories,25 to 29 years,University,61,
2020/2021,Nunavut,15 to 19 years,Total participation rate,62,69.0
2020/2021,Nunavut,15 to 19 years,Elementary/High School,62,67.0
2020/2021,Nunavut,15 to 19 years,University,62,
2020/2021,Nunavut,20 to 24 years,Total participation rate,62,13.0
2020/2021,Nunavut,20 to 24 years,Elementary/High School,62,7.0
2020/2021,Nunavut,20 to 24 years,College,62,
2020/2021,Nunavut,20 to 24 years,University,62,
2020/2021,Nunavut,25 to 29 years,Total participation rate,62,
2020/2021,Nunavut,25 to 29 years,College,62,
2020/2021,Nunavut,25 to 29 years,University,62,
2021/2022,Canada,15 to 19 years,Total participation rate,,84.0
2021/2022,Canada,15 to 19 years,Elementary/High School,,59.0
2021/2022,Canada,15 to 19 years,College,,11.0
2021/2022,Canada,15 to 19 years,University,,14.0
2021/2022,Canada,20 to 24 years,Total participation rate,,44.0
2021/2022,Canada,20 to 24 years,Elementary/High School,,1.0
2021/2022,Canada,20 to 24 years,College,,10.0
2021/2022,Canada,20 to 24 years,University,,33.0
2021/2022,Canada,25 to 29 years,Total participation rate,,12.0
2021/2022,Canada,25 to 29 years,Elementary/High School,,0.0
2021/2022,Canada,25 to 29 years,College,,4.0
2021/2022,Canada,25 to 29 years,University,,8.0
2021/2022,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,85.0
2021/2022,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,59.0
2021/2022,Newfoundland and Labrador,15 to 19 years,College,10,9.0
2021/2022,Newfoundland and Labrador,15 to 19 years,University,10,17.0
2021/2022,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,42.0
2021/2022,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2021/2022,Newfoundland and Labrador,20 to 24 years,College,10,10.0
2021/2022,Newfoundland and Labrador,20 to 24 years,University,10,31.0
2021/2022,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,12.0
2021/2022,Newfoundland and Labrador,25 to 29 years,College,10,
2021/2022,Newfoundland and Labrador,25 to 29 years,University,10,10.0
2021/2022,Prince Edward Island,15 to 19 years,Total participation rate,11,85.0
2021/2022,Prince Edward Island,15 to 19 years,Elementary/High School,11,62.0
2021/2022,Prince Edward Island,15 to 19 years,College,11,8.0
2021/2022,Prince Edward Island,15 to 19 years,University,11,16.0
2021/2022,Prince Edward Island,20 to 24 years,Total participation rate,11,36.0
2021/2022,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2021/2022,Prince Edward Island,20 to 24 years,College,11,7.0
2021/2022,Prince Edward Island,20 to 24 years,University,11,28.0
2021/2022,Prince Edward Island,25 to 29 years,Total participation rate,11,12.0
2021/2022,Prince Edward Island,25 to 29 years,Elementary/High School,11,
2021/2022,Prince Edward Island,25 to 29 years,College,11,4.0
2021/2022,Prince Edward Island,25 to 29 years,University,11,8.0
2021/2022,Nova Scotia,15 to 19 years,Total participation rate,12,83.0
2021/2022,Nova Scotia,15 to 19 years,Elementary/High School,12,60.0
2021/2022,Nova Scotia,15 to 19 years,College,12,9.0
2021/2022,Nova Scotia,15 to 19 years,University,12,13.0
2021/2022,Nova Scotia,20 to 24 years,Total participation rate,12,38.0
2021/2022,Nova Scotia,20 to 24 years,Elementary/High School,12,
2021/2022,Nova Scotia,20 to 24 years,College,12,10.0
2021/2022,Nova Scotia,20 to 24 years,University,12,28.0
2021/2022,Nova Scotia,25 to 29 years,Total participation rate,12,12.0
2021/2022,Nova Scotia,25 to 29 years,Elementary/High School,12,
2021/2022,Nova Scotia,25 to 29 years,College,12,2.0
2021/2022,Nova Scotia,25 to 29 years,University,12,10.0
2021/2022,New Brunswick,15 to 19 years,Total participation rate,13,81.0
2021/2022,New Brunswick,15 to 19 years,Elementary/High School,13,60.0
2021/2022,New Brunswick,15 to 19 years,College,13,6.0
2021/2022,New Brunswick,15 to 19 years,University,13,14.0
2021/2022,New Brunswick,20 to 24 years,Total participation rate,13,30.0
2021/2022,New Brunswick,20 to 24 years,Elementary/High School,13,
2021/2022,New Brunswick,20 to 24 years,College,13,8.0
2021/2022,New Brunswick,20 to 24 years,University,13,21.0
2021/2022,New Brunswick,25 to 29 years,Total participation rate,13,8.0
2021/2022,New Brunswick,25 to 29 years,Elementary/High School,13,
2021/2022,New Brunswick,25 to 29 years,College,13,3.0
2021/2022,New Brunswick,25 to 29 years,University,13,4.0
2021/2022,Quebec,15 to 19 years,Total participation rate,24,84.0
2021/2022,Quebec,15 to 19 years,Elementary/High School,24,50.0
2021/2022,Quebec,15 to 19 years,College,24,31.0
2021/2022,Quebec,15 to 19 years,University,24,3.0
2021/2022,Quebec,20 to 24 years,Total participation rate,24,49.0
2021/2022,Quebec,20 to 24 years,Elementary/High School,24,2.0
2021/2022,Quebec,20 to 24 years,College,24,13.0
2021/2022,Quebec,20 to 24 years,University,24,35.0
2021/2022,Quebec,25 to 29 years,Total participation rate,24,15.0
2021/2022,Quebec,25 to 29 years,Elementary/High School,24,1.0
2021/2022,Quebec,25 to 29 years,College,24,3.0
2021/2022,Quebec,25 to 29 years,University,24,12.0
2021/2022,Ontario,15 to 19 years,Total participation rate,35,87.0
2021/2022,Ontario,15 to 19 years,Elementary/High School,35,61.0
2021/2022,Ontario,15 to 19 years,College,35,7.0
2021/2022,Ontario,15 to 19 years,University,35,19.0
2021/2022,Ontario,20 to 24 years,Total participation rate,35,45.0
2021/2022,Ontario,20 to 24 years,Elementary/High School,35,1.0
2021/2022,Ontario,20 to 24 years,College,35,11.0
2021/2022,Ontario,20 to 24 years,University,35,33.0
2021/2022,Ontario,25 to 29 years,Total participation rate,35,11.0
2021/2022,Ontario,25 to 29 years,Elementary/High School,35,0.0
2021/2022,Ontario,25 to 29 years,College,35,5.0
2021/2022,Ontario,25 to 29 years,University,35,7.0
2021/2022,Manitoba,15 to 19 years,Total participation rate,46,80.0
2021/2022,Manitoba,15 to 19 years,Elementary/High School,46,62.0
2021/2022,Manitoba,15 to 19 years,College,46,4.0
2021/2022,Manitoba,15 to 19 years,University,46,14.0
2021/2022,Manitoba,20 to 24 years,Total participation rate,46,38.0
2021/2022,Manitoba,20 to 24 years,Elementary/High School,46,1.0
2021/2022,Manitoba,20 to 24 years,College,46,7.0
2021/2022,Manitoba,20 to 24 years,University,46,30.0
2021/2022,Manitoba,25 to 29 years,Total participation rate,46,11.0
2021/2022,Manitoba,25 to 29 years,Elementary/High School,46,
2021/2022,Manitoba,25 to 29 years,College,46,3.0
2021/2022,Manitoba,25 to 29 years,University,46,8.0
2021/2022,Saskatchewan,15 to 19 years,Total participation rate,47,83.0
2021/2022,Saskatchewan,15 to 19 years,Elementary/High School,47,67.0
2021/2022,Saskatchewan,15 to 19 years,College,47,3.0
2021/2022,Saskatchewan,15 to 19 years,University,47,12.0
2021/2022,Saskatchewan,20 to 24 years,Total participation rate,47,35.0
2021/2022,Saskatchewan,20 to 24 years,Elementary/High School,47,1.0
2021/2022,Saskatchewan,20 to 24 years,College,47,3.0
2021/2022,Saskatchewan,20 to 24 years,University,47,31.0
2021/2022,Saskatchewan,25 to 29 years,Total participation rate,47,12.0
2021/2022,Saskatchewan,25 to 29 years,Elementary/High School,47,
2021/2022,Saskatchewan,25 to 29 years,College,47,3.0
2021/2022,Saskatchewan,25 to 29 years,University,47,9.0
2021/2022,Alberta,15 to 19 years,Total participation rate,48,81.0
2021/2022,Alberta,15 to 19 years,Elementary/High School,48,64.0
2021/2022,Alberta,15 to 19 years,College,48,3.0
2021/2022,Alberta,15 to 19 years,University,48,14.0
2021/2022,Alberta,20 to 24 years,Total participation rate,48,44.0
2021/2022,Alberta,20 to 24 years,Elementary/High School,48,
2021/2022,Alberta,20 to 24 years,College,48,8.0
2021/2022,Alberta,20 to 24 years,University,48,35.0
2021/2022,Alberta,25 to 29 years,Total participation rate,48,13.0
2021/2022,Alberta,25 to 29 years,Elementary/High School,48,
2021/2022,Alberta,25 to 29 years,College,48,4.0
2021/2022,Alberta,25 to 29 years,University,48,8.0
2021/2022,British Columbia,15 to 19 years,Total participation rate,59,82.0
2021/2022,British Columbia,15 to 19 years,Elementary/High School,59,58.0
2021/2022,British Columbia,15 to 19 years,College,59,6.0
2021/2022,British Columbia,15 to 19 years,University,59,18.0
2021/2022,British Columbia,20 to 24 years,Total participation rate,59,41.0
2021/2022,British Columbia,20 to 24 years,Elementary/High School,59,
2021/2022,British Columbia,20 to 24 years,College,59,8.0
2021/2022,British Columbia,20 to 24 years,University,59,33.0
2021/2022,British Columbia,25 to 29 years,Total participation rate,59,12.0
2021/2022,British Columbia,25 to 29 years,Elementary/High School,59,
2021/2022,British Columbia,25 to 29 years,College,59,3.0
2021/2022,British Columbia,25 to 29 years,University,59,8.0
2021/2022,Yukon,15 to 19 years,Total participation rate,60,76.0
2021/2022,Yukon,15 to 19 years,Elementary/High School,60,67.0
2021/2022,Yukon,15 to 19 years,College,60,
2021/2022,Yukon,15 to 19 years,University,60,
2021/2022,Yukon,20 to 24 years,Total participation rate,60,36.0
2021/2022,Yukon,20 to 24 years,College,60,
2021/2022,Yukon,20 to 24 years,University,60,34.0
2021/2022,Yukon,25 to 29 years,Total participation rate,60,
2021/2022,Yukon,25 to 29 years,University,60,
2021/2022,Northwest Territories,15 to 19 years,Total participation rate,61,65.0
2021/2022,Northwest Territories,15 to 19 years,Elementary/High School,61,59.0
2021/2022,Northwest Territories,15 to 19 years,College,61,
2021/2022,Northwest Territories,15 to 19 years,University,61,
2021/2022,Northwest Territories,20 to 24 years,Total participation rate,61,26.0
2021/2022,Northwest Territories,20 to 24 years,Elementary/High School,61,
2021/2022,Northwest Territories,20 to 24 years,College,61,
2021/2022,Northwest Territories,20 to 24 years,University,61,19.0
2021/2022,Northwest Territories,25 to 29 years,Total participation rate,61,8.0
2021/2022,Northwest Territories,25 to 29 years,College,61,
2021/2022,Northwest Territories,25 to 29 years,University,61,
2021/2022,Nunavut,15 to 19 years,Total participation rate,62,69.0
2021/2022,Nunavut,15 to 19 years,Elementary/High School,62,61.0
2021/2022,Nunavut,15 to 19 years,College,62,
2021/2022,Nunavut,15 to 19 years,University,62,7.0
2021/2022,Nunavut,20 to 24 years,Total participation rate,62,13.0
2021/2022,Nunavut,20 to 24 years,Elementary/High School,62,
2021/2022,Nunavut,20 to 24 years,College,62,
2021/2022,Nunavut,20 to 24 years,University,62,8.0
2021/2022,Nunavut,25 to 29 years,Total participation rate,62,14.0
2021/2022,Nunavut,25 to 29 years,Elementary/High School,62,
2021/2022,Nunavut,25 to 29 years,College,62,10.0
2021/2022,Nunavut,25 to 29 years,University,62,
2014/2015,Canada,30 to 34 years,Total participation rate,,7.0
2014/2015,Canada,30 to 34 years,Elementary and/or High School,,0.0
2014/2015,Canada,30 to 34 years,College,,2.0
2014/2015,Canada,30 to 34 years,University,,4.0
2014/2015,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,3.0
2014/2015,Newfoundland and Labrador,30 to 34 years,Elementary and/or High School,10,
2014/2015,Newfoundland and Labrador,30 to 34 years,College,10,
2014/2015,Newfoundland and Labrador,30 to 34 years,University,10,2.0
2014/2015,Prince Edward Island,30 to 34 years,Total participation rate,11,4.0
2014/2015,Prince Edward Island,30 to 34 years,Elementary and/or High School,11,
2014/2015,Prince Edward Island,30 to 34 years,College,11,
2014/2015,Prince Edward Island,30 to 34 years,University,11,
2014/2015,Nova Scotia,30 to 34 years,Total participation rate,12,7.0
2014/2015,Nova Scotia,30 to 34 years,Elementary and/or High School,12,
2014/2015,Nova Scotia,30 to 34 years,College,12,1.0
2014/2015,Nova Scotia,30 to 34 years,University,12,6.0
2014/2015,New Brunswick,30 to 34 years,Total participation rate,13,6.0
2014/2015,New Brunswick,30 to 34 years,Elementary and/or High School,13,
2014/2015,New Brunswick,30 to 34 years,College,13,2.0
2014/2015,New Brunswick,30 to 34 years,University,13,3.0
2014/2015,Quebec,30 to 34 years,Total participation rate,24,10.0
2014/2015,Quebec,30 to 34 years,Elementary and/or High School,24,1.0
2014/2015,Quebec,30 to 34 years,College,24,2.0
2014/2015,Quebec,30 to 34 years,University,24,7.0
2014/2015,Ontario,30 to 34 years,Total participation rate,35,5.0
2014/2015,Ontario,30 to 34 years,Elementary and/or High School,35,0.0
2014/2015,Ontario,30 to 34 years,College,35,2.0
2014/2015,Ontario,30 to 34 years,University,35,3.0
2014/2015,Manitoba,30 to 34 years,Total participation rate,46,7.0
2014/2015,Manitoba,30 to 34 years,Elementary and/or High School,46,
2014/2015,Manitoba,30 to 34 years,College,46,3.0
2014/2015,Manitoba,30 to 34 years,University,46,4.0
2014/2015,Saskatchewan,30 to 34 years,Total participation rate,47,6.0
2014/2015,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2014/2015,Saskatchewan,30 to 34 years,College,47,2.0
2014/2015,Saskatchewan,30 to 34 years,University,47,4.0
2014/2015,Alberta,30 to 34 years,Total participation rate,48,5.0
2014/2015,Alberta,30 to 34 years,Elementary and/or High School,48,
2014/2015,Alberta,30 to 34 years,College,48,2.0
